geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
05000US06037,"Los Angeles County, CA",9808667,,5056393,,2425184,3836,727132,3955,16982,973,1463532,4732,19950,950,60164,3816,343449,6457,60862,3269,282587,5596,4752274,,600814,11776,24483,1560,124657,4584,23451,1838,2659,520,2368687,18769,1607523,17340,1481114,16498,126409,4723
86000US90001,90001,56189,2729,4532,708,542,280,3306,574,20,28,194,122,15,26,93,88,362,327,7,11,355,328,51657,2912,4797,1114,183,122,1396,540,35,37,21,33,22302,2490,22923,1924,22417,1953,506,204
86000US90002,90002,52122,2800,9307,1328,221,103,7581,1207,54,85,717,429,20,26,124,99,590,236,193,125,397,206,42815,2638,3935,1316,258,164,1529,727,62,55,0,32,23216,1991,13815,2020,12912,1823,903,528
86000US90003,90003,70065,3270,13318,1524,412,156,11077,1485,15,24,373,265,0,32,619,551,822,379,491,306,331,214,56747,3500,3821,856,445,294,900,351,7,11,0,32,36275,2959,15299,2010,14893,2016,406,221
86000US90004,90004,58484,2260,32241,2015,12471,1144,2604,624,95,78,14526,1269,4,10,327,183,2214,513,336,255,1878,472,26243,1888,2601,730,124,114,1102,411,51,41,0,32,15812,1448,6553,1191,5804,1183,749,285
86000US90005,90005,39142,1850,21325,1170,4059,630,2305,434,68,71,13438,945,29,34,40,28,1386,378,142,86,1244,387,17817,1775,1624,693,78,70,596,286,148,91,0,29,10916,1468,4455,1578,4032,1597,423,156
86000US90006,90006,55527,2672,15570,1280,2939,496,1741,447,116,134,9905,1030,80,82,140,127,649,194,195,132,454,148,39957,2493,2481,536,55,55,831,302,86,79,11,17,27747,2187,8746,1381,8283,1376,463,268
86000US90007,90007,38715,1872,18645,1334,6274,950,3306,672,16,17,7538,825,122,138,147,84,1242,251,71,42,1171,241,20070,1460,2084,569,233,125,439,156,91,88,0,29,12262,1144,4961,732,4686,709,275,202
86000US90008,90008,33252,1970,24744,1709,2110,467,20199,1662,33,34,1033,456,65,83,150,105,1154,357,403,237,751,286,8508,1214,888,421,488,304,306,172,38,44,0,29,4667,949,2121,708,1966,691,155,109
86000US90010,90010,4850,692,4350,631,779,268,312,165,0,14,3103,536,0,14,36,35,120,95,26,40,94,76,500,204,20,23,31,40,11,18,29,46,0,14,340,180,69,52,38,35,31,39
86000US90011,90011,100113,3400,8995,1555,1102,394,6052,1334,19,19,671,305,9,16,206,155,936,599,316,381,620,366,91118,3146,5924,1205,176,157,2158,631,20,28,191,271,50008,3401,32641,2750,31952,2768,689,309
86000US90012,90012,37336,1676,27013,1515,6448,842,4641,648,89,79,13884,1242,21,30,381,194,1549,469,158,104,1391,454,10323,965,1048,292,252,145,243,107,130,108,0,29,5912,818,2738,412,2379,386,359,113
86000US90013,90013,14357,1068,10723,1011,3504,506,3148,556,0,21,2837,633,69,89,73,83,1092,316,225,144,867,289,3634,555,567,309,136,98,219,107,27,39,10,17,1434,434,1241,299,1048,279,193,98
86000US90014,90014,10224,992,7864,921,2520,475,2184,491,27,20,2237,603,0,21,33,26,863,426,44,71,819,418,2360,650,401,287,190,185,0,21,0,21,28,46,1212,471,529,354,430,338,99,72
86000US90015,90015,24704,1743,13419,1176,3833,776,2722,770,179,170,5601,829,0,25,85,77,999,427,64,57,935,418,11285,1498,1254,639,46,62,729,399,103,164,0,25,6524,1142,2629,821,2381,801,248,199
86000US90016,90016,46457,2488,23164,1431,5870,637,12331,1311,103,120,2145,415,74,107,195,140,2446,476,323,197,2123,454,23293,2147,2717,825,160,129,274,168,0,29,0,29,12324,1695,7818,1604,7350,1597,468,265
86000US90017,90017,30172,1865,13343,1273,2851,488,4099,898,0,29,5514,822,0,29,51,56,828,274,134,90,694,275,16829,1741,1316,553,244,180,456,246,151,89,0,29,12096,1605,2566,658,2349,657,217,157
86000US90018,90018,48745,2469,19805,1734,3672,558,10978,1475,23,21,2608,393,0,29,739,333,1785,465,561,253,1224,373,28940,2250,1823,735,322,229,286,167,31,22,0,29,19921,1862,6557,1260,6250,1236,307,145
86000US90019,90019,59548,2853,33684,1651,10824,1048,9242,1134,78,69,10519,979,49,49,659,212,2313,672,880,567,1433,284,25864,2358,2030,509,298,205,657,305,129,94,0,32,16099,1585,6651,1608,6160,1584,491,234
86000US90020,90020,38994,1990,25880,1814,4788,678,2540,598,128,104,16650,1561,97,124,263,168,1414,466,312,291,1102,410,13114,1469,1197,498,161,95,368,246,109,113,31,51,7595,1185,3653,855,3344,854,309,137
86000US90021,90021,2897,661,1487,370,682,236,537,249,0,14,120,110,0,14,39,60,109,125,0,14,109,125,1410,552,28,24,2,4,30,38,6,10,0,14,905,480,439,298,331,274,108,111
86000US90022,90022,60343,2276,1913,522,946,356,286,210,10,16,353,202,28,46,238,195,52,43,31,35,21,22,58430,2216,5932,1092,55,64,1300,407,53,63,5,8,36201,1936,14884,1801,13694,1731,1190,520
86000US90023,90023,43857,2420,1775,437,797,313,225,129,49,31,407,192,45,74,125,164,127,97,82,91,45,34,42082,2428,2663,784,23,25,1177,496,39,40,2,5,27053,2087,11125,1794,10618,1783,507,270
86000US90024,90024,51675,1964,44424,1927,24674,1786,2648,702,49,49,13667,943,123,104,540,286,2723,576,201,140,2522,576,7251,666,1147,273,165,100,164,114,65,60,0,32,3106,425,2604,479,2200,467,404,234
86000US90025,90025,46508,2246,39371,2432,24415,2169,1792,515,0,29,9754,1084,27,29,690,374,2693,570,394,159,2299,575,7137,1065,1443,499,62,93,128,126,150,167,0,29,3023,855,2331,512,1883,436,448,257
86000US90026,90026,62692,2058,34052,1502,19777,1148,1934,376,124,99,8573,819,234,235,536,261,2874,637,722,365,2152,459,28640,1827,2773,631,67,62,834,327,105,92,0,32,17459,1618,7402,1139,6433,992,969,364
86000US90027,90027,46558,1676,36358,1371,26446,1374,1867,402,67,51,5463,791,8,14,466,187,2041,440,310,113,1731,419,10200,1098,1666,506,54,58,292,170,44,61,0,29,4823,889,3321,597,2690,537,631,232
86000US90028,90028,32883,1561,23222,1475,13452,1292,2680,557,148,96,4195,787,24,30,509,264,2214,351,344,175,1870,327,9661,1450,1402,539,145,128,424,220,55,58,0,29,4515,1057,3120,795,2571,732,549,331
86000US90029,90029,33303,1880,16678,1272,8759,845,1382,394,76,69,5196,990,17,31,242,133,1006,308,268,122,738,282,16625,1566,992,298,70,55,793,400,51,50,0,29,11554,1163,3165,1170,2817,1131,348,164
86000US90031,90031,36127,1683,15476,1529,3313,482,640,280,226,157,10202,1480,134,130,81,56,880,318,82,72,798,304,20651,1191,1556,495,186,155,495,206,80,58,117,90,13771,1140,4446,736,3746,726,700,341
86000US90032,90032,43117,1584,11076,963,4241,611,1161,399,125,127,4762,688,0,29,185,100,602,139,60,37,542,138,32041,1679,3407,897,207,157,813,286,121,74,0,29,18649,1704,8844,1162,8000,1112,844,300
86000US90033,90033,45647,2258,5155,596,1655,237,575,180,125,99,2323,490,25,30,199,129,253,98,46,42,207,93,40492,2309,3257,795,153,131,1039,337,25,26,8,11,27682,2353,8328,1105,7898,1108,430,188
86000US90034,90034,57075,2232,42451,2271,22258,1314,5497,932,42,71,10615,1514,240,288,387,229,3412,533,770,279,2642,487,14624,1403,1572,411,268,161,508,222,144,106,0,32,6325,1011,5807,1150,5215,1121,592,194
86000US90035,90035,29000,1790,25024,1730,17609,1544,2037,605,7,11,2068,527,27,45,1362,621,1914,520,829,433,1085,297,3976,766,652,266,264,316,52,54,42,53,0,25,1340,460,1626,417,1538,423,88,70
86000US90036,90036,39278,1727,34114,1634,21326,1226,2712,633,29,33,7142,1142,41,45,387,198,2477,481,372,136,2105,451,5164,722,1046,305,57,57,174,101,27,29,0,29,1492,347,2368,532,2064,518,304,170
86000US90037,90037,65482,2721,13778,1370,1277,372,9881,1269,162,229,799,282,101,152,137,110,1421,420,729,334,692,233,51704,2635,3395,790,312,165,1852,595,70,79,0,32,35416,2468,10659,1777,10225,1764,434,236
86000US90038,90038,27127,1309,14071,1105,8612,1010,2035,440,148,134,2081,499,53,55,140,92,1002,277,135,80,867,265,13056,1067,1180,360,176,121,428,253,155,151,42,55,8076,1030,2999,598,2564,539,435,224
86000US90039,90039,28884,1468,19828,1266,12256,872,476,180,6,10,5247,761,0,25,54,37,1789,389,506,222,1283,342,9056,1041,1387,418,0,25,184,124,45,29,0,25,3853,798,3587,728,3089,681,498,264
86000US90040,90040,11430,577,391,152,131,78,60,53,0,21,101,92,0,21,49,77,50,59,0,21,50,59,11039,595,1635,545,0,21,799,505,0,21,0,21,5669,975,2936,775,2598,738,338,272
86000US90041,90041,27920,1665,18370,1270,8699,777,346,201,12,18,7101,801,19,22,248,186,1945,412,215,113,1730,414,9550,1441,1627,597,19,24,296,191,110,95,0,25,4157,721,3341,1130,2588,1001,753,402
86000US90042,90042,56835,1975,25321,1674,14721,1227,1194,448,45,43,6949,907,0,32,247,103,2165,431,437,288,1728,348,31514,1476,3609,640,130,122,1639,548,132,99,0,32,14910,1407,11094,1204,9347,1110,1747,507
86000US90043,90043,42377,2206,30433,2179,2742,579,23718,2059,41,50,941,282,62,74,384,224,2545,572,785,345,1760,454,11944,1657,801,320,348,204,219,183,3,7,0,29,5374,1096,5199,1044,4720,1059,479,249
86000US90044,90044,94830,4517,28941,2157,1421,433,25257,2183,306,210,477,219,75,84,390,231,1015,306,113,82,902,297,65889,3954,3706,899,452,244,926,446,255,356,4,7,33934,2765,26612,3059,26266,3039,346,218
86000US90045,90045,41786,1989,33379,1547,20128,1268,3328,733,98,79,6506,900,98,99,138,85,3083,588,475,188,2608,548,8407,1237,1078,317,78,80,242,169,118,88,42,63,1955,493,4894,1281,4125,1173,769,312
86000US90046,90046,48296,1880,40158,1660,31006,1668,2571,652,75,69,3527,578,30,32,382,208,2567,467,603,218,1964,419,8138,1043,1370,385,110,70,99,89,38,47,0,29,2374,724,4147,793,3701,773,446,208
86000US90047,90047,50974,2820,30409,1892,1226,319,25855,1901,38,43,569,220,383,338,473,264,1865,669,789,498,1076,454,20565,2633,1758,566,702,384,496,386,210,331,98,113,10844,2107,6457,1349,5745,1428,712,393
86000US90048,90048,21476,1352,19488,1340,14962,1215,798,246,0,25,2135,468,0,25,217,147,1376,396,228,120,1148,361,1988,374,364,144,20,30,44,40,0,25,0,25,425,122,1135,294,993,282,142,82
86000US90049,90049,37122,1968,33981,1557,26857,1604,714,260,60,52,3691,541,69,92,235,155,2355,452,516,221,1839,402,3141,1081,423,142,24,30,75,54,20,23,0,29,547,218,2052,1064,1900,1058,152,87
86000US90052,90052,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90056,90056,8543,1069,7285,988,1083,344,4913,950,63,51,338,192,0,19,20,34,868,380,91,98,777,352,1258,517,108,81,330,288,13,22,0,19,0,19,201,172,606,313,413,271,193,156
86000US90057,90057,46629,2538,15338,1333,2406,412,3180,820,106,93,8852,1212,24,27,60,49,710,198,49,66,661,183,31291,2308,2752,775,141,116,2213,773,48,46,27,42,21109,2344,5001,969,4505,937,496,248
86000US90058,90058,3585,972,871,454,339,424,388,189,0,14,49,45,3,4,48,70,44,45,0,14,44,45,2714,794,498,351,0,14,0,14,0,14,0,14,1202,515,1014,574,1014,574,0,14
86000US90059,90059,37511,2891,9334,1200,425,136,7651,1025,28,32,528,396,66,112,185,151,451,284,229,190,222,190,28177,2623,2419,1238,205,263,738,445,17,25,4,9,16266,1711,8528,1649,8001,1672,527,217
86000US90061,90061,30051,2556,8900,1279,483,144,7623,1168,7,12,121,76,25,52,177,267,464,232,90,101,374,199,21151,2343,1587,727,232,178,703,358,26,41,0,29,11146,1821,7457,1619,7374,1614,83,93
86000US90062,90062,32715,1800,10864,890,992,271,7308,857,3,7,526,190,53,60,466,273,1516,471,1026,421,490,219,21851,1833,2086,815,75,53,715,286,7,11,5,27,14192,1519,4771,964,4408,933,363,192
86000US90063,90063,48397,2272,3142,535,1421,294,203,142,127,160,1211,375,0,29,26,29,154,95,41,43,113,76,45255,2253,3472,750,55,55,1346,609,92,56,0,29,32237,2438,8053,1034,7281,1096,772,440
86000US90064,90064,26642,1246,22985,1258,14018,1041,1134,435,36,42,5112,543,45,65,398,180,2242,569,423,198,1819,551,3657,715,725,510,17,26,19,54,11,17,0,25,1141,293,1744,524,1542,493,202,93
86000US90065,90065,44658,1947,21885,1587,12875,1315,705,243,46,32,5970,676,22,36,124,95,2143,374,361,142,1782,339,22773,1581,1946,593,7,11,707,247,131,68,6,10,12185,1352,7791,1067,6528,976,1263,409
86000US90066,90066,56740,2220,42760,2077,27549,1933,2141,679,73,63,8629,844,68,69,420,202,3880,571,557,178,3323,552,13980,1127,1597,344,224,111,449,207,131,91,0,32,5861,1037,5718,850,4952,840,766,260
86000US90067,90067,3875,638,3723,645,2283,562,130,191,0,14,815,378,0,14,0,14,495,314,0,14,495,314,152,125,38,59,0,14,0,14,0,14,0,14,0,14,114,111,114,111,0,14
86000US90068,90068,21572,1260,18786,1168,14486,1031,1506,509,17,37,1278,365,45,61,175,103,1279,323,306,158,973,285,2786,618,575,332,116,90,25,39,168,222,0,25,539,359,1363,353,1152,337,211,114
86000US90069,90069,20961,1210,19207,1141,15635,1110,687,257,15,24,1367,372,0,25,355,167,1148,332,307,159,841,286,1754,417,509,224,0,25,41,64,0,25,0,25,292,151,912,322,628,284,284,150
86000US90071,90071,556,38,313,24,103,52,172,33,0,14,0,14,0,14,0,14,38,94,0,14,38,94,243,20,0,14,0,14,0,14,0,14,0,14,141,43,102,53,32,73,70,22
86000US90073,90073,1079,176,805,235,583,272,152,121,0,14,45,67,12,30,0,14,13,23,0,14,13,23,274,146,46,83,0,14,16,30,0,14,0,14,121,109,91,104,91,104,0,14
86000US90077,90077,8386,868,7661,862,6343,805,114,95,0,19,829,368,0,19,46,65,329,222,17,39,312,229,725,320,89,77,0,19,0,19,0,19,0,19,207,111,429,298,399,297,30,47
86000US90079,90079,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90089,90089,5462,502,4257,389,1678,326,440,197,33,42,1808,335,0,19,12,22,286,128,17,33,269,126,1205,316,260,181,41,60,32,40,19,30,0,19,591,191,262,135,223,125,39,55
86000US90094,90094,11764,1279,10237,1245,5995,1112,1079,545,0,21,2102,520,0,21,13,20,1048,527,0,21,1048,527,1527,549,281,177,0,21,0,21,0,21,0,21,589,374,657,337,634,335,23,34
86000US90095,90095,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US90201,90201,92763,87,5168,1018,3295,895,892,509,42,50,564,299,67,86,79,70,229,159,72,116,157,105,87595,1021,8915,1440,7,11,1759,496,125,188,0,32,25817,2176,50972,2669,50041,2653,931,312
86000US90210,90210,19004,1101,17866,1123,14873,1100,403,193,33,48,1628,467,0,21,138,114,791,329,249,197,542,250,1138,363,274,147,0,21,0,21,0,21,0,21,135,90,729,369,615,352,114,96
86000US90211,90211,9120,906,8433,977,5559,745,127,102,0,19,1888,788,0,19,376,296,483,256,83,73,400,211,687,387,277,270,12,19,0,19,14,22,0,19,240,237,144,115,91,85,53,60
86000US90212,90212,10728,900,9476,957,7023,846,278,190,0,21,1222,540,0,21,90,89,863,411,105,132,758,388,1252,455,273,188,0,21,0,21,25,40,0,21,416,324,538,295,517,293,21,34
86000US90220,90220,48354,1709,15250,1430,643,206,13122,1373,0,29,604,369,12,23,560,448,309,143,83,75,226,104,33104,1891,2389,763,133,95,910,403,13,20,0,29,17952,1590,11707,1922,11401,1917,306,172
86000US90221,90221,50659,2320,10089,1221,381,169,8414,1165,9,14,574,432,160,156,230,145,321,174,20,21,301,171,40570,2396,4140,1185,285,358,1204,534,23,37,7,11,15730,1566,19181,2266,18387,2264,794,463
86000US90222,90222,32340,2350,7779,1281,243,106,6941,1215,0,29,276,180,0,29,50,45,269,166,50,57,219,153,24561,2147,3124,1310,82,81,648,329,131,179,0,29,12631,1415,7945,1535,7895,1526,50,78
86000US90230,90230,31009,1646,22431,1195,11832,1083,2458,821,12,19,5477,703,83,100,162,167,2407,565,233,125,2174,559,8578,1484,1116,468,63,99,79,80,20,18,0,29,2745,936,4555,1091,4189,1023,366,217
86000US90232,90232,16554,1154,12689,1128,7610,860,373,204,28,39,3631,940,0,21,5,13,1042,276,331,185,711,233,3865,872,573,426,31,43,69,65,4,12,0,21,994,569,2194,671,1979,662,215,190
86000US90240,90240,24853,1624,6979,993,3269,770,855,463,0,25,2353,694,33,40,141,123,328,166,150,101,178,125,17874,1493,1790,531,91,79,438,400,67,58,35,44,8555,969,6898,1251,6567,1219,331,210
86000US90241,90241,45319,1968,11137,1241,5949,907,1420,506,49,48,2626,664,0,29,249,221,844,352,106,74,738,333,34182,2054,5360,1312,293,258,1277,466,101,66,0,29,16349,1449,10802,1356,10197,1390,605,259
86000US90242,90242,40767,2006,9330,1106,3879,539,1487,610,23,30,3101,763,167,155,126,100,547,216,177,134,370,186,31437,1839,4222,1065,41,40,1041,417,166,99,30,48,15887,1531,10050,1197,8630,1180,1420,651
86000US90245,90245,16769,31,13435,532,9538,706,484,304,9,12,1891,358,0,21,16,19,1497,414,494,369,1003,242,3334,534,676,257,0,21,42,38,0,21,0,21,511,249,2105,458,1921,457,184,141
86000US90247,90247,47053,1660,23082,1389,3023,575,5984,922,116,127,11956,1090,20,33,231,145,1752,790,234,113,1518,778,23971,2010,2084,598,232,188,745,311,122,81,44,57,12138,1467,8606,1399,7813,1332,793,309
86000US90248,90248,11235,1202,8090,1151,1026,389,2141,883,0,21,4019,706,9,15,120,79,775,378,28,36,747,381,3145,633,502,264,21,36,100,100,16,25,0,21,1757,626,749,271,548,224,201,166
86000US90249,90249,26290,1410,14005,1320,2495,406,6163,1135,24,28,3921,482,32,34,159,93,1211,487,367,358,844,310,12285,1288,1608,637,149,124,773,421,177,182,40,66,5250,1066,4288,900,3940,868,348,251
86000US90250,90250,93826,1455,43537,2484,10363,1190,21321,2004,360,293,7678,948,573,438,446,239,2796,602,686,314,2110,526,50289,2378,5842,1387,227,181,1809,470,219,156,26,32,21777,1722,20389,1947,19024,1973,1365,529
86000US90254,90254,19063,29,16787,607,13368,746,167,98,40,39,1373,329,9,13,30,44,1800,421,210,111,1590,412,2276,603,255,113,8,14,162,147,17,26,0,21,567,225,1267,498,1028,487,239,131
86000US90255,90255,69349,1062,2190,463,1152,307,478,269,25,21,370,158,54,65,64,74,47,50,1,2,46,50,67159,1169,5788,1152,73,85,1592,493,46,77,21,34,33043,1961,26596,2273,25560,2160,1036,402
86000US90260,90260,32075,617,11954,1214,5392,856,1781,586,164,134,3673,784,0,29,22,29,922,273,90,77,832,259,20121,1111,2695,706,66,90,643,467,117,93,0,29,7226,1150,9374,1274,8545,1267,829,310
86000US90262,90262,64235,277,7766,1046,1414,382,5286,997,21,42,473,324,2,6,156,116,414,267,60,67,354,261,56469,1129,5629,1235,223,176,1673,654,36,42,14,21,30602,2165,18292,2348,17764,2313,528,209
86000US90263,90263,1856,155,1509,152,759,216,172,80,0,14,477,138,0,14,0,14,101,64,18,22,83,62,347,94,151,81,14,21,0,14,6,13,0,14,100,58,76,46,68,46,8,9
86000US90265,90265,15918,709,14369,842,11834,889,305,131,33,33,803,173,0,21,369,261,1025,321,393,242,632,240,1549,524,133,103,22,29,21,28,0,21,0,21,531,253,842,404,610,358,232,216
86000US90266,90266,34210,34,31579,478,24317,907,281,165,56,70,4561,750,0,29,249,193,2115,362,221,118,1894,349,2631,475,426,176,18,30,34,34,0,29,0,29,406,187,1747,409,1467,314,280,209
86000US90270,90270,24218,167,669,330,229,112,55,30,6,12,135,109,7,11,212,277,25,31,0,25,25,31,23549,370,1804,576,12,18,753,448,25,29,5,8,11007,1099,9943,1111,9848,1114,95,81
86000US90272,90272,21390,1494,20459,1441,16842,1502,174,123,7,11,1422,343,0,25,69,60,1945,492,343,231,1602,398,931,344,212,132,11,17,0,25,0,25,0,25,116,83,592,257,487,235,105,109
86000US90274,90274,25059,496,23480,455,14676,1157,863,521,0,25,5918,995,0,25,129,78,1894,426,350,284,1544,360,1579,425,328,162,0,25,3,5,54,63,0,25,342,200,852,330,778,325,74,58
86000US90275,90275,40945,91,35982,785,19129,1078,658,316,2,4,13005,1036,1,3,335,224,2852,640,446,192,2406,615,4963,795,513,220,0,29,26,39,50,48,0,29,1625,401,2749,707,2235,643,514,295
86000US90277,90277,34844,1536,29585,1538,21746,1619,851,363,171,206,4424,812,68,67,226,133,2099,488,210,118,1889,488,5259,824,1021,372,0,29,0,29,50,73,0,29,1148,299,3040,597,2724,611,316,155
86000US90278,90278,42423,1416,36040,1596,21304,1367,1060,522,120,83,8881,1135,159,208,302,180,4214,759,1009,450,3205,568,6383,968,1155,405,31,51,146,91,199,140,0,29,1576,491,3276,725,2654,605,622,396
